分类: 央视频道, 名称: 香港卫视, 有效: 5, IPv4: 9, IPv6: 12, 最小延迟: 630 ms, 最高速率: 0.67 M/s, 平均速率: 0.59 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 浙江卫视, 有效: 5, IPv4: 252, IPv6: 101, 最小延迟: 473 ms, 最高速率: 9.04 M/s, 平均速率: 3.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.56, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 湖南卫视, 有效: 5, IPv4: 277, IPv6: 85, 最小延迟: 461 ms, 最高速率: 8.54 M/s, 平均速率: 3.81 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 北京卫视, 有效: 5, IPv4: 265, IPv6: 87, 最小延迟: 7 ms, 最高速率: 26.32 M/s, 平均速率: 8.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 湖北卫视, 有效: 5, IPv4: 252, IPv6: 98, 最小延迟: 78 ms, 最高速率: 10.37 M/s, 平均速率: 4.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 208, IPv6: 92, 最小延迟: 471 ms, 最高速率: 9.88 M/s, 平均速率: 2.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.55, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 安徽卫视, 有效: 5, IPv4: 226, IPv6: 87, 最小延迟: 460 ms, 最高速率: 9.25 M/s, 平均速率: 2.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 重庆卫视, 有效: 5, IPv4: 225, IPv6: 78, 最小延迟: 511 ms, 最高速率: 7.87 M/s, 平均速率: 2.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 东方卫视, 有效: 5, IPv4: 228, IPv6: 104, 最小延迟: 378 ms, 最高速率: 9.64 M/s, 平均速率: 4.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 东南卫视, 有效: 5, IPv4: 214, IPv6: 84, 最小延迟: 25 ms, 最高速率: 19.48 M/s, 平均速率: 9.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.43, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 105, IPv6: 61, 最小延迟: 625 ms, 最高速率: 6.57 M/s, 平均速率: 1.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 广西卫视, 有效: 5, IPv4: 191, IPv6: 67, 最小延迟: 636 ms, 最高速率: 7.80 M/s, 平均速率: 3.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.09, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 贵州卫视, 有效: 5, IPv4: 215, IPv6: 76, 最小延迟: 425 ms, 最高速率: 6.24 M/s, 平均速率: 1.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 海南卫视, 有效: 5, IPv4: 126, IPv6: 73, 最小延迟: 26 ms, 最高速率: 18.81 M/s, 平均速率: 7.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.43, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 河北卫视, 有效: 5, IPv4: 184, IPv6: 87, 最小延迟: 958 ms, 最高速率: 0.69 M/s, 平均速率: 0.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 河南卫视, 有效: 5, IPv4: 228, IPv6: 70, 最小延迟: 10 ms, 最高速率: 49.86 M/s, 平均速率: 20.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 吉林卫视, 有效: 5, IPv4: 192, IPv6: 72, 最小延迟: 25 ms, 最高速率: 19.12 M/s, 平均速率: 9.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.38, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 江苏卫视, 有效: 5, IPv4: 267, IPv6: 96, 最小延迟: 37 ms, 最高速率: 9.68 M/s, 平均速率: 1.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.09, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 江西卫视, 有效: 5, IPv4: 234, IPv6: 92, 最小延迟: 25 ms, 最高速率: 21.01 M/s, 平均速率: 11.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.50, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 235, IPv6: 89, 最小延迟: 427 ms, 最高速率: 8.64 M/s, 平均速率: 2.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 91, IPv6: 55, 最小延迟: 953 ms, 最高速率: 0.68 M/s, 平均速率: 0.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.27, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 124, IPv6: 68, 最小延迟: 209 ms, 最高速率: 9.86 M/s, 平均速率: 2.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.82, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 青海卫视, 有效: 5, IPv4: 144, IPv6: 81, 最小延迟: 442 ms, 最高速率: 8.82 M/s, 平均速率: 2.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 山东卫视, 有效: 5, IPv4: 221, IPv6: 85, 最小延迟: 39 ms, 最高速率: 9.13 M/s, 平均速率: 2.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 山西卫视, 有效: 0, IPv4: 48, IPv6: 6, 最小延迟: 7 ms, 最高速率: 13.40 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: 陕西卫视, 有效: 3, IPv4: 59, IPv6: 7, 最小延迟: 8 ms, 最高速率: 13.04 M/s, 平均速率: 7.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.69, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: 四川卫视, 有效: 5, IPv4: 226, IPv6: 74, 最小延迟: 143 ms, 最高速率: 6.62 M/s, 平均速率: 1.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 深圳卫视, 有效: 5, IPv4: 222, IPv6: 61, 最小延迟: 965 ms, 最高速率: 1.74 M/s, 平均速率: 0.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.23, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 三沙卫视, 有效: 5, IPv4: 38, IPv6: 25, 最小延迟: 649 ms, 最高速率: 6.28 M/s, 平均速率: 1.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 天津卫视, 有效: 5, IPv4: 237, IPv6: 86, 最小延迟: 439 ms, 最高速率: 8.77 M/s, 平均速率: 2.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 西藏卫视, 有效: 5, IPv4: 82, IPv6: 57, 最小延迟: 440 ms, 最高速率: 8.37 M/s, 平均速率: 2.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 新疆卫视, 有效: 5, IPv4: 100, IPv6: 73, 最小延迟: 639 ms, 最高速率: 0.69 M/s, 平均速率: 0.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 云南卫视, 有效: 5, IPv4: 161, IPv6: 68, 最小延迟: 461 ms, 最高速率: 8.87 M/s, 平均速率: 2.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.29, 视频编解码器: h264, 音频编解码器: mp2
